Model,Dataset,x,y,modality,category
ALIGN,mscoco,5.83,4.43,text,crash helmet
ALIGN,mscoco,6.15,2.54,text,crash helmet
ALIGN,mscoco,5.04,4.66,text,crash helmet
ALIGN,mscoco,1.17,4.96,text,crash helmet
ALIGN,mscoco,5.87,5.65,text,crash helmet
ALIGN,mscoco,-2.08,6.68,text,crash helmet
ALIGN,mscoco,-0.25,4.37,text,crash helmet
ALIGN,mscoco,3.25,6.91,text,crash helmet
ALIGN,mscoco,1.05,6.47,text,crash helmet
ALIGN,mscoco,1.27,6.27,text,crash helmet
ALIGN,mscoco,3.44,7.53,text,crash helmet
ALIGN,mscoco,2.58,7.66,text,crash helmet
ALIGN,mscoco,-1.58,2.38,text,crash helmet
ALIGN,mscoco,5.20,5.93,text,crash helmet
ALIGN,mscoco,5.54,4.45,text,crash helmet
ALIGN,mscoco,1.51,5.97,text,crash helmet
ALIGN,mscoco,4.72,6.31,text,crash helmet
ALIGN,mscoco,1.65,5.91,text,crash helmet
ALIGN,mscoco,5.69,1.50,text,crash helmet
ALIGN,mscoco,0.39,8.34,text,crash helmet
ALIGN,mscoco,4.15,6.04,text,crash helmet
ALIGN,mscoco,-1.58,4.34,text,crash helmet
ALIGN,mscoco,0.57,7.02,text,crash helmet
ALIGN,mscoco,4.67,5.40,text,crash helmet
ALIGN,mscoco,7.43,1.77,text,crash helmet
ALIGN,mscoco,6.27,5.43,text,crash helmet
ALIGN,mscoco,3.06,5.97,text,crash helmet
ALIGN,mscoco,0.15,2.03,text,crash helmet
ALIGN,mscoco,1.92,7.28,text,crash helmet
ALIGN,mscoco,1.49,5.67,text,crash helmet
ALIGN,mscoco,-1.48,6.67,text,crash helmet
ALIGN,mscoco,2.63,6.88,text,crash helmet
